iter	Passed	Remaining
338	530	1034
339	531	1031
340	532	1029
341	534	1027
342	535	1025
343	536	1023
344	538	1021
345	539	1020
346	541	1018
347	542	1016
348	544	1014
349	545	1012
350	546	1010
351	547	1008
352	548	1006
353	550	1004
354	551	1001
355	552	999
356	553	997
357	555	995
358	556	993
359	557	991
360	559	989
361	560	987
362	561	986
363	563	983
364	564	982
365	565	979
366	567	978
367	568	976
368	570	974
369	571	973
370	572	970
371	573	968
372	575	967
373	576	964
374	577	963
375	579	961
376	581	960
377	582	958
378	583	956
379	585	954
380	586	953
381	587	951
382	589	949
383	590	947
384	592	945
385	593	944
386	594	942
387	596	940
388	597	938
389	599	936
390	600	934
391	601	933
392	603	931
393	606	933
394	609	934
395	611	932
396	612	930
397	613	928
398	615	926
399	615	923
400	617	921
401	618	919
402	619	917
403	620	915
404	621	912
405	622	910
406	623	908
407	625	907
408	626	905
409	627	903
410	628	901
411	630	899
412	631	897
413	632	895
414	633	893
415	634	891
416	635	889
417	637	887
418	638	885
419	639	883
420	640	881
421	642	879
422	643	877
423	644	875
424	645	873
425	646	871
426	648	869
427	649	867
428	650	866
429	652	864
430	653	862
431	654	860
432	655	858
433	656	856
434	658	855
435	659	852
436	660	850
437	661	848
438	662	846
439	663	844
440	664	842
441	666	840
442	667	839
443	668	837
444	669	835
445	670	833
446	672	831
447	673	829
448	674	827
449	675	825
450	676	823
451	677	821
452	679	819
453	680	818
454	681	816
455	682	814
456	683	812
457	685	810
458	686	808
459	687	807
460	688	805
461	689	803
462	691	801
463	692	799
464	693	798
465	694	796
466	696	794
467	697	792
468	698	790
469	699	788
470	700	787
471	702	785
472	703	783
473	704	781
474	705	780
475	706	778
476	708	776
477	709	774
478	710	773
479	711	771
480	713	769
481	714	767
482	715	766
483	716	764
484	718	762
485	719	760
486	720	758
487	721	757
488	722	755
489	724	753
490	725	752
491	726	750
492	727	748
493	729	746
494	730	744
495	731	743
496	732	741
497	733	739
498	734	737
499	736	736
500	737	734
501	738	732
502	739	730
503	741	729
504	743	728
505	744	726
506	745	725
507	746	723
508	748	721
509	749	719
510	750	718
511	751	716
512	752	714
513	754	713
514	755	711
515	756	709
516	758	708
517	759	706
518	760	704
519	761	703
520	762	701
521	763	699
522	765	697
523	766	696
524	767	694
525	769	693
526	770	691
527	771	689
528	772	688
529	774	686
530	775	684
531	776	683
532	777	681
533	779	679
534	780	678
535	782	677
536	783	675
537	784	673
538	785	672
539	787	670
540	788	668
541	790	667
542	791	666
543	792	664
544	794	662
545	795	661
546	796	659
547	797	657
548	798	656
549	800	654
550	801	652
551	802	651
552	803	649
553	806	648
554	807	647
555	808	645
556	809	644
557	810	642
558	812	640
559	813	639
560	814	637
561	815	635
562	817	634
563	818	632
564	819	630
565	820	629
566	821	627
567	823	626
568	824	624
569	825	622
570	826	621
571	828	619
572	829	618
573	830	616
574	831	614
575	832	613
576	834	611
577	835	609
578	836	608
579	837	606
580	838	605
581	840	603
582	841	601
583	842	600
584	843	598
585	845	597
586	847	595
587	848	594
588	849	592
589	850	591
590	852	589
591	853	588
592	854	586
593	856	585
594	857	583
595	859	582
596	861	581
597	862	580
598	864	578
599	865	576
600	866	575
601	867	573
602	869	572
603	870	570
604	872	569
605	873	568
606	875	566
607	876	565
608	877	563
609	878	561
610	880	560
611	881	558
612	882	557
613	884	555
614	885	554
615	886	552
616	887	551
617	889	549
618	890	548
619	891	546
620	893	545
621	894	543
622	895	541
623	896	540
624	898	538
625	899	537
626	900	535
627	902	534
628	903	532
629	904	531
630	906	530
631	907	528
632	908	526
633	910	525
634	911	523
635	912	522
636	913	520
637	915	519
638	916	517
639	918	516
640	919	514
641	920	513
642	921	511
643	923	510
644	924	508
645	925	507
646	927	505
647	928	504
648	929	502
649	930	501
650	932	499
651	933	498
652	934	496
653	936	495
654	937	493
655	939	492
656	940	490
657	941	489
658	942	487
659	944	486
660	945	484
661	946	483
662	947	481
663	949	480
664	950	478
665	951	477
666	952	475
667	954	474
668	955	472
669	957	471
670	958	469
671	959	468
672	960	466
673	962	465
674	963	463
675	964	462
676	966	461
677	967	459
678	968	458
679	970	456
680	971	455
681	972	453
682	974	452
683	975	450
684	976	449
685	977	447
686	979	446
687	980	444
688	981	442
689	982	441
690	983	439
691	985	438
692	986	436
693	987	435
694	988	433
695	990	432
696	991	431
697	992	429
698	994	428
699	995	426
700	997	425
701	998	423
702	999	422
703	1000	420
704	1002	419
705	1003	417
706	1005	416
707	1006	415
708	1007	413
709	1008	412
710	1009	410
711	1011	408
712	1012	407
713	1013	405
714	1014	404
715	1015	402
716	1017	401
717	1018	399
718	1019	398
719	1021	397
720	1022	395
721	1023	394
722	1024	392
723	1025	390
724	1026	389
725	1027	387
726	1029	386
727	1030	385
728	1031	383
729	1032	382
730	1034	380
731	1035	379
732	1036	377
733	1037	376
734	1039	374
735	1040	373
736	1041	371
737	1042	370
738	1043	368
739	1045	367
740	1046	365
741	1047	364
742	1048	362
743	1050	361
744	1051	359
745	1052	358
746	1054	357
747	1055	355
748	1056	354
749	1057	352
750	1058	351
751	1060	349
752	1061	348
753	1062	346
754	1063	345
755	1064	343
756	1066	342
757	1067	340
758	1068	339
759	1069	337
760	1071	336
761	1072	334
762	1073	333
763	1074	331
764	1076	330
765	1078	329
766	1079	328
767	1081	326
768	1082	325
769	1084	323
770	1086	322
771	1087	321
772	1088	319
773	1090	318
774	1091	316
775	1092	315
776	1094	313
777	1095	312
778	1096	311
779	1097	309
780	1099	308
781	1100	306
782	1101	305
783	1103	303
784	1104	302
785	1105	301
786	1107	299
787	1108	298
788	1109	296
789	1110	295
790	1111	293
791	1113	292
792	1114	290
793	1115	289
794	1116	287
795	1118	286
796	1119	285
797	1120	283
798	1121	282
799	1123	280
800	1124	279
801	1125	277
802	1126	276
803	1128	275
804	1129	273
805	1130	272
806	1132	270
807	1133	269
808	1134	267
809	1135	266
810	1137	265
811	1138	263
812	1139	262
813	1140	260
814	1142	259
815	1143	257
816	1144	256
817	1145	254
818	1146	253
819	1148	252
820	1149	250
821	1150	249
822	1151	247
823	1153	246
824	1154	244
825	1155	243
826	1156	241
827	1158	240
828	1159	239
829	1160	237
830	1161	236
831	1162	234
832	1164	233
833	1165	231
834	1166	230
835	1167	229
836	1169	227
837	1170	226
838	1171	224
839	1172	223
840	1174	221
841	1175	220
842	1176	219
843	1177	217
844	1178	216
845	1180	214
846	1181	213
847	1182	211
848	1183	210
849	1185	209
850	1186	207
851	1187	206
852	1188	204
853	1190	203
854	1191	202
855	1192	200
856	1194	199
857	1195	197
858	1196	196
859	1197	194
860	1198	193
861	1200	192
862	1202	190
863	1203	189
864	1205	188
865	1206	186
866	1208	185
867	1209	183
868	1210	182
869	1211	181
870	1213	179
871	1214	178
872	1215	176
873	1216	175
874	1218	174
875	1220	172
876	1221	171
877	1222	169
878	1224	168
879	1225	167
880	1226	165
881	1227	164
882	1229	162
883	1231	161
884	1232	160
885	1233	158
886	1235	157
887	1236	155
888	1237	154
889	1238	153
890	1240	151
891	1241	150
892	1242	148
893	1243	147
894	1244	146
895	1246	144
896	1247	143
897	1248	141
898	1249	140
899	1251	139
900	1252	137
901	1253	136
902	1254	134
903	1256	133
904	1257	131
905	1258	130
906	1259	129
907	1261	127
908	1263	126
909	1264	125
910	1265	123
911	1266	122
912	1268	120
913	1269	119
914	1271	118
915	1272	116
916	1273	115
917	1274	113
918	1276	112
919	1277	111
920	1278	109
921	1279	108
922	1281	106
923	1282	105
924	1283	104
925	1285	102
926	1286	101
927	1288	99
928	1289	98
929	1290	97
930	1291	95
931	1293	94
932	1294	92
933	1295	91
934	1296	90
935	1298	88
936	1299	87
937	1300	85
938	1301	84
939	1303	83
940	1304	81
941	1305	80
942	1306	78
943	1308	77
944	1309	76
945	1310	74
946	1312	73
947	1313	72
948	1314	70
949	1316	69
950	1318	67
951	1319	66
952	1320	65
953	1321	63
954	1323	62
955	1324	60
956	1325	59
957	1327	58
958	1328	56
959	1329	55
960	1330	54
961	1332	52
962	1334	51
963	1335	49
964	1336	48
965	1338	47
966	1339	45
967	1340	44
968	1341	42
969	1343	41
970	1344	40
971	1345	38
972	1346	37
973	1348	35
974	1349	34
975	1350	33
976	1352	31
977	1353	30
978	1354	29
979	1355	27
980	1357	26
981	1358	24
982	1359	23
983	1360	22
984	1361	20
985	1362	19
986	1364	17
987	1365	16
988	1366	15
989	1367	13
990	1369	12
991	1370	11
992	1371	9
993	1372	8
994	1373	6
995	1375	5
996	1376	4
997	1377	2
998	1378	1
999	1379	0
