iter	Logloss
0	0.6296495974
1	0.5735013288
2	0.5398108385
3	0.4813174182
4	0.4324836541
5	0.390341653
6	0.3524622909
7	0.3160730475
8	0.2846121829
9	0.2527099367
10	0.2311817622
11	0.2114636465
12	0.1920652527
13	0.1735967952
14	0.1561783784
15	0.1459763581
16	0.1336902947
17	0.1209018479
18	0.1118075281
19	0.102612257
20	0.09610552519
21	0.08765329156
22	0.0812063191
23	0.07489613161
24	0.06961581672
25	0.0640163855
26	0.05924104727
27	0.05568285224
28	0.05126502075
29	0.04858820584
30	0.04611097607
31	0.04331224147
32	0.04021672945
33	0.03757864842
34	0.03565916499
35	0.03376943176
36	0.03150292384
37	0.02944467681
38	0.02795155809
39	0.02610253228
40	0.02513424126
41	0.02442868194
42	0.02370752768
43	0.02276538014
44	0.0220124578
45	0.02084976618
46	0.01973192293
47	0.01914278136
48	0.01804067964
49	0.01708461033
50	0.01679391615
51	0.01636411621
52	0.01593068484
53	0.01525298815
54	0.01467184068
55	0.01425883549
56	0.01417919399
57	0.01396791067
58	0.01375549644
59	0.01335469425
60	0.01319448592
61	0.01311022306
62	0.0128927934
63	0.01276646526
64	0.01255066907
65	0.01243552715
66	0.01230021512
67	0.01223297707
68	0.01190474564
69	0.01172134822
70	0.01155731964
71	0.01128946476
72	0.01104684739
73	0.01100797524
74	0.01092993574
75	0.01080818271
76	0.01066207521
77	0.01047769813
78	0.01038696064
79	0.01013880693
80	0.01011333656
81	0.009820487936
82	0.009792269202
83	0.009738639562
84	0.00939788522
85	0.009091544104
86	0.008819943488
87	0.008596328719
88	0.008571620419
89	0.008244496958
90	0.008109017638
91	0.008072985587
92	0.0079476619
93	0.007806865479
94	0.007793579705
95	0.007739732745
96	0.007694053788
97	0.007688806222
98	0.007591126002
99	0.007528297714
100	0.007505770317
101	0.007433342263
102	0.007377209648
103	0.007064516722
104	0.007064492657
105	0.007053270157
106	0.006911543545
107	0.006726589561
108	0.006626808631
109	0.006526678605
110	0.00652022522
111	0.006359771893
112	0.006324669304
113	0.00616964951
114	0.006098957999
115	0.006066277276
116	0.005976545253
117	0.005971962241
118	0.005969569276
119	0.005966999436
120	0.005963206878
121	0.005884094089
122	0.005850781733
123	0.005756032263
124	0.005756028456
125	0.005740616426
126	0.005644908196
127	0.005587828677
128	0.005577774988
129	0.005530574124
130	0.005522778888
131	0.005522765488
132	0.005474720601
133	0.005325621393
134	0.005228282819
135	0.004998427242
136	0.004973170932
137	0.004946358411
138	0.004925594126
139	0.004854984299
140	0.004815358102
141	0.004757963662
142	0.004737169433
143	0.004686296602
144	0.004617027903
145	0.004607273222
146	0.004585995483
147	0.004583976197
148	0.004541188465
149	0.004473892484
150	0.004348210408
151	0.004196330988
152	0.004168990415
153	0.004018884913
154	0.00401887783
155	0.003961468684
156	0.003880478087
157	0.003862070721
158	0.00383524825
159	0.003814767292
160	0.003805612426
161	0.003805601878
162	0.003785417962
163	0.003785402215
164	0.003752035546
165	0.003690704077
166	0.003690691517
167	0.003675274893
168	0.003666053278
169	0.003658520226
170	0.003644076968
171	0.003636451787
172	0.003595521696
173	0.003461082908
174	0.003379772438
175	0.00333863175
176	0.003280712106
177	0.003251275929
178	0.003244862971
179	0.003201789685
180	0.003191103594
181	0.003187011352
182	0.003184775188
183	0.003127376366
184	0.003111844649
185	0.003077774674
186	0.003044670555
187	0.003044663481
188	0.003039241051
189	0.003039249555
190	0.003020801158
191	0.003020799953
192	0.002953924916
193	0.002878257829
194	0.002834527288
195	0.002822709122
196	0.002822688103
197	0.002814495863
198	0.002746786859
